service_id,contract_id,vendor_id,service_name,service_category,service_subcategory,service_description,service_scope,deliverable_definition,sla_items,sla_target,kpi_items,kpi_target,performance_rating,usage_frequency,actual_utilization_rate,resource_count,unit_price,unit_price_type,business_criticality,replaceability,service_start_date,last_used_date,notes
S000001,C000034,V00011,業務委託（IT以外） サービス,業務委託（IT以外）,,業務委託（IT以外）に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,3,月次,93.6,0.6,1238903,式,高,普通,2024-06-13,2025-06-08,
S000002,C000014,V00006,コンサルティング サービス,コンサルティング,,コンサルティングに関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,4,随時,81.3,1.5,785891,人月,高,普通,2024-08-25,2024-11-23,
S000003,C000014,V00006,ITシステム保守・運用 サービス,ITシステム保守・運用,,ITシステム保守・運用に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,3,日次,89.5,1.8,778194,式,中,普通,2024-08-25,2024-11-23,
S000004,C000007,V00003,ITシステム保守・運用 サービス,ITシステム保守・運用,,ITシステム保守・運用に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,,,,,4,週次,77.1,1.6,928761,式,高,困難,2025-11-12,2026-11-07,
S000005,C000008,V00004,その他 サービス,その他,,その他に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,顧客満足度、納期遵守率,満足度80%以上,3,月次,73.6,2.8,1381162,人月,低,困難,2024-07-15,2025-07-10,
S000006,C000008,V00004,ITシステム開発 サービス,ITシステム開発,,ITシステム開発に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,顧客満足度、納期遵守率,満足度80%以上,5,月次,84.2,1.2,884737,人月,高,普通,2024-07-15,2025-07-10,
S000007,C000008,V00004,マーケティング支援 サービス,マーケティング支援,,マーケティング支援に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,顧客満足度、納期遵守率,満足度80%以上,5,月次,60.4,2.3,1444152,時間,高,容易,2024-07-15,2025-07-10,
S000008,C000020,V00008,ITシステム保守・運用 サービス,ITシステム保守・運用,,ITシステム保守・運用に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,顧客満足度、納期遵守率,満足度80%以上,4,月次,61.2,1.8,662276,人月,低,普通,2025-11-28,2026-11-23,
S000009,C000038,V00013,ITインフラ サービス,ITインフラ,,ITインフラに関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,4,週次,84.7,1.0,1189324,人日,中,普通,2025-03-30,2026-03-25,
S000010,C000038,V00013,コンサルティング サービス,コンサルティング,,コンサルティングに関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,4,週次,61.9,2.8,1103776,人月,低,容易,2025-03-30,2026-03-25,
S000011,C000002,V00001,ITシステム開発 サービス,ITシステム開発,,ITシステム開発に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,3,月次,78.5,1.9,1270630,人日,高,容易,2025-01-10,2026-01-05,
S000012,C000002,V00001,人材派遣 サービス,人材派遣,,人材派遣に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,4,日次,87.8,1.3,625469,時間,中,普通,2025-01-10,2026-01-05,
S000013,C000023,V00009,ITシステム保守・運用 サービス,ITシステム保守・運用,,ITシステム保守・運用に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,,,,,5,日次,61.5,0.6,512579,式,低,容易,2024-09-29,2024-12-28,
S000014,C000023,V00009,コンサルティング サービス,コンサルティング,,コンサルティングに関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,,,,,5,日次,92.9,0.6,846409,人日,高,普通,2024-09-29,2024-12-28,
S000015,C000004,V00002,ITシステム開発 サービス,ITシステム開発,,ITシステム開発に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,3,月次,77.1,2.2,1367638,人月,中,普通,2024-10-12,2025-01-10,
S000016,C000004,V00002,ITシステム保守・運用 サービス,ITシステム保守・運用,,ITシステム保守・運用に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,3,月次,68.1,1.0,1459528,式,中,困難,2024-10-12,2025-01-10,
S000017,C000004,V00002,ITシステム保守・運用 サービス,ITシステム保守・運用,,ITシステム保守・運用に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,5,月次,61.9,2.1,1430105,時間,中,困難,2024-10-12,2025-01-10,
