vendor_id,vendor_name_official,vendor_name_short,vendor_classification,industry,relationship_start_date,years_of_business,annual_spend,contract_count,primary_contact,vendor_rating,risk_level,notes
V00001,有限会社イノベーションコンサルティング,有限会社イノベーショ,大手企業,BPO・業務委託,2025-11-26,3.1,1497744,2,渡辺花子,B,低,
V00002,株式会社コンサルティングコーポレーション,株式会社コンサルティ,個人事業主,人材派遣,2025-08-24,4.4,4095660,3,林愛,B,中,
V00003,有限会社エンタープライズグループ,有限会社エンタープラ,中小企業,IT・システム開発,2025-07-10,2.2,650316,2,木村恵,S,低,
V00004,有限会社コンサルティングシステムズ,有限会社コンサルティ,中堅企業,IT・システム開発,2025-11-03,4.6,12809892,2,佐藤健太,B,低,
V00005,有限会社セキュリティソリューションズ,有限会社セキュリティ,中小企業,IT・システム開発,2024-12-22,4.0,23270280,2,伊藤大輔,A,低,
V00006,株式会社イノベーションイノベーション,株式会社イノベーショ,中小企業,BPO・業務委託,2024-08-19,2.7,5009724,5,加藤さくら,A,中,
V00007,合同会社イノベーションシステムズ,合同会社イノベーショ,中堅企業,その他,2025-12-14,3.2,0,1,山崎大輔,A,低,
V00008,有限会社グローバルパートナーズ,有限会社グローバルパ,中堅企業,コンサルティング,2025-03-05,3.3,12062652,5,加藤浩,S,低,
V00009,合同会社システムラボ,合同会社システムラボ,大手企業,IT・システム開発,2025-04-26,0.8,187835196,5,佐々木愛,B,中,
V00010,株式会社クラウドコンサルティング,株式会社クラウドコン,中小企業,IT・システム開発,2024-12-06,2.0,18456732,5,松本修,A,高,
V00011,イノベーションコーポレーション株式会社,イノベーションコーポ,中堅企業,IT・システム開発,2024-10-21,3.5,95768160,2,林優子,B,低,
V00012,合同会社スマートデザイン,合同会社スマートデザ,スタートアップ,マーケティング,2025-08-05,3.3,7943244,1,中村美咲,C,低,
V00013,株式会社インテグレーションパートナーズ,株式会社インテグレー,中小企業,コンサルティング,2025-07-28,1.8,1910268,3,高橋さくら,S,低,
V00014,有限会社プロフェッショナルコーポレーション,有限会社プロフェッシ,大手企業,IT・システム開発,2025-03-16,1.9,1265676,3,鈴木翔太,S,中,
V00015,ソリューションパートナーズ株式会社,ソリューションパート,中堅企業,その他,2024-01-02,2.1,666876,1,清水修,S,低,
V00016,有限会社テクノロジースタジオ,有限会社テクノロジー,中堅企業,コンサルティング,2025-10-17,2.7,20038620,5,高橋大輔,B,高,
V00017,株式会社AIシステムズ,株式会社AIシステム,中堅企業,BPO・業務委託,2024-09-01,3.1,16526184,3,山口優子,A,低,
V00018,株式会社コンサルティングデザイン,株式会社コンサルティ,中小企業,IT・システム開発,2024-03-20,2.9,0,0,佐藤太郎,C,低,
V00019,有限会社プロフェッショナルコンサルティング,有限会社プロフェッシ,中小企業,人材派遣,2024-12-13,3.3,0,0,木村浩,B,中,
V00020,システムシステムズ有限会社,システムシステムズ有,中小企業,BPO・業務委託,2025-08-23,2.7,0,0,清水麻衣,A,中,
